,MW,SLogP,nHBDon,nHBAcc,TopoPSA,nRot,naRing,QED
2248,644.0908520480008,4.718800000000004,3,7,165.32000000000002,8,2,0.38149060332835105
2249,618.0752019840008,4.328700000000004,3,7,165.32,10,2,0.363479241742119
2250,313.14264146800053,1.98268,0,6,85.1,2,1,0.8297176113008509
2251,628.1248812520007,6.017700000000005,2,8,171.9,11,3,0.2463973212788119
2253,650.0814302360009,4.668400000000004,3,7,165.32,12,2,0.2865403938022262
2254,644.0908520480009,4.718800000000003,3,7,165.32,8,2,0.38149060332835105
2255,664.1015589640008,4.593800000000003,3,7,165.32000000000002,9,2,0.3366028101950697
2256,436.18992600800067,4.186780000000003,1,6,99.76,3,3,0.6609379618537804
2257,572.212712252001,4.166900000000004,3,7,165.32,7,3,0.38993203477574573
2258,490.2168897040008,6.267180000000005,0,5,79.53,5,3,0.3940983858444003
2260,360.15862588000056,3.036080000000001,0,6,88.75999999999999,2,2,0.8177285944782945
2261,644.0908520480008,4.515300000000004,3,7,165.32,9,2,0.3683159213412635
2262,656.0908520480009,4.862900000000004,3,7,165.32000000000002,8,2,0.3721942742397554
2263,703.1079793320009,4.372200000000004,2,8,157.56,10,2,0.3528290313136919
2264,456.1961542600007,4.103720000000003,1,5,98.83,3,3,0.5984000848320824
2265,646.106502112001,5.105700000000004,3,7,165.32,10,2,0.3292151525349404
2266,686.0625866120008,5.261200000000006,3,7,165.32,11,2,0.27681413565913465
2267,632.0908520480009,4.718800000000003,3,7,165.32000000000002,11,2,0.328798318046498
2268,606.0940456080008,4.0225000000000035,3,7,165.32,8,2,0.41608089155704736
2269,432.1961542600007,3.6081800000000026,0,6,79.11,2,2,0.7214543282787185
2270,672.0469365480008,4.871100000000005,3,7,165.32,10,2,0.309115323774794
2273,700.083161552001,4.140800000000002,3,9,199.55,9,3,0.2806433794507342
2274,442.1605177000006,4.912980000000004,0,5,79.53,3,3,0.5756969051632816
2275,618.0752019840008,4.232500000000003,4,7,174.11,10,2,0.31432442089450396
2277,642.1360526520009,4.465920000000004,3,7,165.32000000000002,9,2,0.34656645300963607
2278,622.1531466880008,6.238300000000006,2,8,171.90000000000003,10,4,0.21230860351465336
2280,445.2277887360008,3.523380000000002,0,6,73.12,2,2,0.7043244327430759
2284,450.18558957600067,5.320880000000004,0,5,79.53,3,3,0.5395025023241601
2285,648.0657801720008,4.420800000000003,3,7,165.32000000000002,8,2,0.36365709450831707
2286,407.17461029200064,4.089480000000003,0,6,92.42,2,3,0.6352398359706941
2287,426.2055760720007,3.736100000000003,1,5,98.83000000000001,3,3,0.6434834330789014
2288,632.1561813800008,4.488700000000004,3,7,165.32000000000002,12,2,0.29612666610835386
2289,662.0814302360009,4.809300000000004,3,7,165.32,8,2,0.34823018160186014
2290,618.0752019840008,4.328700000000004,3,7,165.32,10,2,0.363479241742119
2291,657.0661145200008,5.199680000000004,2,7,168.88000000000002,8,2,0.37520474660966197
2292,720.0327657920009,4.180800000000003,1,8,178.82000000000002,7,2,0.42458779383963874
2293,492.23253976800083,6.491180000000006,0,5,79.53,5,3,0.4066203819703339
2294,648.0657801720008,4.420800000000003,3,7,165.32000000000002,8,2,0.36365709450831707
2295,624.0846237960008,4.319700000000004,3,7,165.32,8,2,0.40115586483104004
2296,662.0814302360009,4.810900000000004,3,7,165.32000000000002,8,2,0.3481769609594232
2298,671.0817645840009,5.5897800000000055,2,7,168.88000000000002,9,2,0.33420416865650726
2299,576.0082652960004,4.019000000000003,2,6,159.08,6,2,0.502730668280981
2300,666.0563583600008,4.716400000000004,3,7,165.32,8,2,0.3500885953171197
2301,654.0563583600008,4.573900000000004,3,7,165.32,11,2,0.30456298071727295
2302,484.20746789200075,6.083280000000006,0,5,79.53,5,3,0.438276539855779
2303,630.0752019840008,4.471200000000003,3,7,165.32,10,2,0.3552219484303405
2304,676.0970803000009,5.201000000000006,3,7,165.32000000000002,10,2,0.29690656937304316
2305,676.0970803000009,5.056900000000004,3,7,165.32000000000002,9,2,0.31883498554912293
2306,424.18992600800067,3.656200000000003,1,5,98.83000000000001,3,3,0.6471739234363026
2307,680.1373377560008,4.876400000000005,3,7,165.32000000000002,10,2,0.3073797401964799
2308,630.0752019840008,4.471200000000003,3,7,165.32,8,2,0.39467883904020173
2310,644.0908520480009,4.8613000000000035,3,7,165.32,10,2,0.3387892762819462
2311,662.0814302360009,4.810900000000004,3,7,165.32000000000002,9,2,0.3307391328116004
2312,456.17616776400064,5.303080000000004,0,5,79.53,3,3,0.5341511811338214
2313,630.0752019840007,4.472800000000004,3,7,165.32000000000002,8,2,0.39463574392009365
2314,408.1950113880007,4.774380000000004,0,5,79.53,2,3,0.6099028222571005
2315,572.1238186320006,6.053900000000005,2,5,132.98,9,2,0.3566934025671713
2316,666.0563583600008,4.7180000000000035,3,7,165.32000000000002,8,2,0.3500393495870738
2317,658.1718314440009,5.0213000000000045,3,7,165.32000000000002,10,2,0.30784210760793873
2319,420.1950113880007,4.618280000000004,0,5,79.53,3,3,0.617739728854893
2320,690.1127303640011,5.447000000000005,3,7,165.32,8,2,0.3163877500276205
2321,646.106502112001,4.964800000000005,3,7,165.32,11,2,0.31637067784369466
2322,628.0595519200007,3.9386000000000028,3,7,165.32000000000002,8,2,0.4061707176541063
2323,656.1108385440009,4.192200000000003,3,8,174.55,10,2,0.34858568394320855
2324,666.1216876920007,4.4863000000000035,3,7,165.32,9,2,0.3388583466809782
2325,632.0908520480009,4.718800000000003,3,7,165.32,11,2,0.328798318046498
2326,632.0908520480009,4.717200000000004,3,7,165.32,10,2,0.34770143955014593
2327,652.0407082960007,4.327900000000003,3,7,165.32000000000002,8,2,0.3643785881639911
2328,684.1122658800007,4.569100000000004,3,7,165.32000000000002,8,2,0.34999548176354944
2329,407.17461029200064,4.089480000000003,0,6,92.42,2,3,0.6352398359706941
2331,434.21066145200075,5.393000000000005,0,5,79.53,2,3,0.5399735402993222
2333,648.0657801720008,5.019600000000004,3,7,165.32000000000002,8,2,0.34494998226292
2334,648.0657801720008,4.420800000000003,3,7,165.32000000000002,9,2,0.34544397121233994
2335,722.0484158560009,4.617200000000004,2,8,187.61,8,2,0.37902000640668476
2336,616.0595519200007,4.0827000000000035,3,7,165.32000000000002,8,2,0.409793147138679
2337,568.2177976320011,6.440300000000007,2,8,154.83,7,4,0.2633069049383184
2338,644.1561813800008,4.631200000000004,3,7,165.32,9,2,0.34181446878545896
2340,639.0643029520006,6.996900000000005,2,7,159.01000000000002,10,3,0.24483624705374912
2342,644.0908520480009,4.861300000000004,3,7,165.32,9,2,0.35756850456611605
2343,677.0359572640007,5.494700000000004,2,9,175.14000000000001,7,3,0.3130390716956801
2344,689.0923292680009,4.551500000000003,3,7,188.18,10,2,0.31149343242702876
2346,656.0908520480009,4.8613000000000035,3,7,165.32,10,2,0.33503868165402617
2347,574.2001276120009,6.9191000000000065,2,4,95.94,10,2,0.3207830243905761
2349,531.2164921680009,3.8428900000000024,2,11,160.67000000000002,8,4,0.3451766678737319
2350,281.9865907640002,3.562000000000001,1,4,100.47999999999999,3,2,0.6908351963967999
