,IC50_nM
1651,1900.0
1652,166.0
1653,46.0
1654,30.0
1655,26.0
1656,46.0
1657,227.0
1658,180.0
1659,10.0
1660,0.69
1661,17.0
1662,21.0
1663,16.0
1664,10.0
1665,12.0
1666,1.0
1667,1.4
1668,33.0
1669,9.4
1670,3.6
1671,0.37
1672,1.4
1673,1.8
1674,20.0
1675,2.6
1676,8.9
1677,10.0
1678,14.0
1679,1.3
1680,7.1
1681,1.2
1682,7.9
1683,4.4
1684,1.4
1685,6.3
1686,0.71
1687,17.0
1688,2.6
1689,0.94
1690,48.0
1691,6.1
1692,1.6
1694,28.0
1695,209.0
1696,43.0
1697,1.9
1698,3.6
1699,3.4
1700,1.6
1701,4.7
1702,52.0
1703,3.2
1704,5.4
1705,1.8
1706,19.0
1707,63.1
1709,10000.0
1711,11.0
1712,2511.89
1713,770.0
1714,25118.86
1717,110.0
1719,7.0
1721,50.12
1722,19.0
1723,27.0
1724,100.0
1725,29.0
1726,10000.0
1727,120.0
1728,50.0
1729,700.0
1730,216000.0
1734,46.0
1735,4900.0
1736,18.0
1737,19000.0
1738,14.0
1739,9000.0
1742,25118.86
1743,440.0
1744,780.0
1745,80.0
1747,33.0
1748,25118.86
1749,500000.0
1751,10.0
1752,3250.0
1753,3.1
1754,31.62
1755,1146.0
1758,31.62
1759,7.0
1760,20000.0
1761,88.0
1763,59.0
1766,69000.0
1767,4733.0
1768,50.0
1769,20.0
1771,914.0
1772,160.0
1773,5400.0
1774,3.1
1775,73.0
1777,5.3
1779,5.5
1781,35.0
1783,130.0
1784,84.0
1785,5.3
1786,58.5
1787,630.0
1788,47.8
1789,600.0
1790,1320.0
1791,10000.0
1792,300.0
1793,358.0
1794,2100.0
1796,7200.0
1797,3000.0
1798,5160.0
1800,100.0
1801,270.0
1802,21.0
1803,10000.0
1804,7670.0
1806,6000.0
1809,156.0
1810,1000.0
1811,50000.0
1812,1220.0
1813,426.0
1814,820.0
1815,99.0
1816,5700.0
1817,81.9
1818,138.0
1819,170.0
1820,6600.0
1821,313.0
1822,4.3
1823,180.0
1825,54.9
1826,17.0
1827,6.6
1828,140.0
1829,33.5
1831,16200.0
1832,48.0
1833,200.0
1834,566.0
1835,167.0
1836,230.0
1837,10000.0
1838,75.0
1841,13.0
1842,1450.0
1844,210.0
1845,1100.0
1846,82.0
1847,69.6
1851,97.0
1852,81.0
1853,6300.0
1854,34.0
1857,6800.0
1859,40000.0
1862,4400.0
1867,40000.0
1868,44.0
1871,40000.0
1872,6400.0
1873,10000.0
1874,6500.0
1876,2.5
1877,40000.0
1878,20.0
1879,6700.0
1880,5500.0
1881,390.0
1882,40000.0
1883,610.0
1884,220.0
1885,17.0
1886,13400.0
1887,290.0
1888,40000.0
1889,86.0
1891,10000.0
1892,490.0
1893,30.0
1894,2300.0
1895,320.0
1896,16100.0
1897,1100.0
1898,40000.0
1899,210.0
1900,39.0
1901,47.0
1903,89.0
1905,68.0
1906,40000.0
1907,40000.0
1910,4.9
1911,71.0
1912,690.0
1913,4700.0
1914,40000.0
1915,30000.0
1916,30000.0
1917,30000.0
1918,30000.0
1919,30000.0
1920,40000.0
1921,1000.0
1923,37.0
1927,25.0
1928,4.1
1929,40.0
1930,638.0
1931,14.0
1932,40.0
1933,16.0
1935,10700.0
1938,2900.0
1939,9.8
1941,10.0
1942,1800.0
1946,10.0
1948,10000.0
1949,780.0
1951,14000.0
1952,5000.0
1954,140.0
1955,14000.0
1957,28.0
1958,4.4
1959,310.0
1961,8.2
1962,330.0
1963,783.0
1966,150.0
1967,13.0
1969,12.8
1970,790.0
1971,6800.0
